AcumuloCasos,DataCasos
0,2020-01-30
0,2020-01-31
0,2020-02-01
0,2020-02-02
0,2020-02-03
0,2020-02-04
0,2020-02-05
0,2020-02-06
0,2020-02-07
0,2020-02-08
0,2020-02-09
0,2020-02-10
0,2020-02-11
0,2020-02-12
0,2020-02-13
0,2020-02-14
0,2020-02-15
0,2020-02-16
0,2020-02-17
0,2020-02-18
0,2020-02-19
0,2020-02-20
0,2020-02-21
0,2020-02-22
0,2020-02-23
0,2020-02-24
0,2020-02-25
1,2020-02-26
1,2020-02-27
1,2020-02-28
2,2020-02-29
2,2020-03-01
2,2020-03-02
2,2020-03-03
3,2020-03-04
7,2020-03-05
13,2020-03-06
19,2020-03-07
25,2020-03-08
25,2020-03-09
34,2020-03-10
52,2020-03-11
77,2020-03-12
98,2020-03-13
121,2020-03-14
200,2020-03-15
234,2020-03-16
291,2020-03-17
428,2020-03-18
621,2020-03-19
904,2020-03-20
1128,2020-03-21
1546,2020-03-22
1891,2020-03-23
2201,2020-03-24
2433,2020-03-25
2915,2020-03-26
3417,2020-03-27
3903,2020-03-28
4256,2020-03-29
4579,2020-03-30
5717,2020-03-31
6834,2020-04-01
7910,2020-04-02
9056,2020-04-03
10278,2020-04-04
11130,2020-04-05
12056,2020-04-06
13717,2020-04-07
15927,2020-04-08
17857,2020-04-09
19638,2020-04-10
20727,2020-04-11
22169,2020-04-12
23430,2020-04-13
25262,2020-04-14
28320,2020-04-15
30425,2020-04-16
33682,2020-04-17
36599,2020-04-18
38654,2020-04-19
40581,2020-04-20
43079,2020-04-21
45757,2020-04-22
49492,2020-04-23
52995,2020-04-24
58509,2020-04-25
61888,2020-04-26
66501,2020-04-27
71886,2020-04-28
